index,MainID,OtherID,RA,DEC,X_mos,Y_mos,mag130,dmag130,mag139, dmag139,color,dcolor,Delta130,Delta139,Nr_IR
609,939,-,83.96858753,-5.494967793,551.0149668,6903.862274,19.906,6.28193,15.3082,0.021561,4.59776,6.30349,8.884,0.0304918,1
610,940,-,83.96861797,-5.494972398,550.1644702,6903.732722,19.906,6.28193,15.2995,0.00923387,4.60647,6.29117,8.884,0.0130587,1
611,941,-,83.97110254,-5.50295941,480.8181698,6679.510846,18.7895,4.85568,15.5759,0.0195953,3.21366,4.87528,6.86697,0.0277119,1
612,942,-,83.97113474,-5.502974283,479.9186067,6679.093047,18.7895,4.85568,15.5722,0.0143704,3.21735,4.87005,6.86697,0.0203228,1
613,943,-,83.97110607,-5.502922832,480.7191876,6680.537569,18.7895,4.85568,15.6023,0.0569677,3.18723,4.91265,6.86697,0.0805645,1
614,944,-,83.95573542,-5.49437942,910.1170666,6920.495559,17.1268,0.00390314,16.4765,0.0284467,0.65005,0.0363218,0.00551987,0.0568867,1
615,945,982,83.93872897,-5.5062691,1385.398419,6586.892159,18.272,0.308873,18.0878,0.0539611,0.364715,0.0704284,0.637245,0.125126,2
616,946,-,83.95590981,-5.495753952,905.2565166,6881.91045,19.9364,0.434884,18.9924,0.136503,0.964767,0.248669,0.615019,0.263348,1
617,947,1007,83.95523882,-5.490062073,923.9547298,7041.689288,20.6423,0.275661,20.0752,0.0921867,0.565513,0.325392,0.615736,0.223999,2
618,948,988,83.94472568,-5.50066382,1217.797882,6744.184958,20.6189,0.0706729,20.0269,0.0463743,0.91317,0.594604,0.136,0.121918,2
619,949,991,83.94291628,-5.507572307,1268.41177,6550.276561,20.9554,0.268345,20.2099,0.107417,0.698725,0.385306,0.64393,0.279423,2
620,950,-,83.94146858,-5.508542945,1308.869684,6523.042355,61.036,55.102,21.2132,0.0845769,39.5295,54.7718,77.926,0.11961,1
621,951,975,83.9313822,-5.503418057,1590.651629,6666.979734,21.5066,0.000527343,21.6263,0.144727,-0.106218,0.552417,0.000745773,0.335001,2
622,953,996,83.92887985,-5.481961881,1660.407093,7269.279977,17.5444,0.00188088,17.3283,0.0240834,0.212255,0.0266851,0.00326538,0.0618534,2
623,955,981,83.91376509,-5.510647145,2082.940962,6464.185889,18.1505,0.0151744,17.9372,0.0139275,0.191619,0.0188465,0.0350914,0.0388088,2
624,960,-,83.91752327,-5.503080096,1977.88159,6676.56882,19.7067,0.0130972,19.6393,0.0267079,0.0652914,0.0504993,0.0185223,0.0528946,1
625,961,1006,83.93247076,-5.484025776,1560.085693,7211.318368,20.375,0.207691,19.8632,0.0459603,0.36525,0.143338,0.578535,0.100679,2
626,963,989,83.92120627,-5.503548169,1874.978268,6663.403554,20.418,0.17359,20.2349,0.0224199,0.0682808,0.155184,0.446417,0.0448074,2
627,964,992,83.92223633,-5.503107274,1846.194306,6675.772108,20.5225,0.0450637,20.3318,0.0628434,0.199939,0.0970803,0.0835781,0.133516,2
628,966,1009,83.91993085,-5.480183423,1910.447306,7319.267652,20.915,0.234831,20.5211,0.0296349,0.380044,0.211326,0.562994,0.0650005,2
629,968,-,83.918159,-5.504229496,1960.126809,6644.30034,20.3766,0.0150596,20.0532,0.000238724,0.333108,0.0196958,0.0212975,0.000337601,1
630,970,-,83.92096177,-5.503242319,1881.80763,6671.990605,20.9654,0.0504063,20.7969,0.0382788,0.168425,0.0121275,0.0712852,0.0541344,1
631,971,1887,83.90150352,-5.499895191,2425.468953,6766.077122,20.6344,0.131745,20.4509,0.584441,0.0428486,0.176566,0.303843,1.59595,2
632,973,-,83.90619873,-5.488806021,2294.20714,7077.322853,20.5328,0.205396,20.5758,0.313835,-0.185598,0.453684,0.290474,0.620756,1
633,976,1917-2015-7103,83.9316241,-5.536577684,1584.148803,5736.176905,13.4919,0.0112003,13.5867,0.00844721,-0.107154,0.0198154,0.0378046,0.0229998,4
634,977,1698-1919,83.92493414,-5.532055291,1771.029033,5863.172814,15.0606,0.0117806,15.2284,0.0146138,-0.172234,0.0160868,0.0291672,0.0358858,3
